Group 1,Group 2,P-adj,Significant,Cohen's d,Effect Size
53-084 (5 mg/ml),"53-084 (0,5 mg/ml)",1.0,False,1.0954451150103321,DUŻY
53-084 (50 mg/ml),"53-084 (0,5 mg/ml)",1.0,False,3.464101615137755,DUŻY
53-182 (50 mg/ml),"53-084 (0,5 mg/ml)",1.0,False,2.857738033247042,DUŻY
53-183 (50 mg/ml),"53-084 (0,5 mg/ml)",1.0,False,1.5851878478024346,DUŻY
55-001 (50 mg/ml),"53-084 (0,5 mg/ml)",1.0,False,-1.6329931618554505,DUŻY
55-009 (50 mg/ml),"53-084 (0,5 mg/ml)",1.0,False,6.350852961085886,DUŻY
55-023 (50 mg/ml),"53-084 (0,5 mg/ml)",1.0,False,0.24618298195866722,mały
55-156 (50 mg/ml),"53-084 (0,5 mg/ml)",1.0,False,0.0,znikomy
55-163 (50 mg/ml),"53-084 (0,5 mg/ml)",1.0,False,0.8164965809277275,DUŻY
55-165 (5 mg/ml),"53-084 (0,5 mg/ml)",1.0,False,0.0,znikomy
55-165 (50 mg/ml),"53-084 (0,5 mg/ml)",1.0,False,13.85640646055102,DUŻY
55-173 (5 mg/ml),"53-084 (0,5 mg/ml)",1.0,False,3.2659863237109055,DUŻY
55-173 (50 mg/ml),"53-084 (0,5 mg/ml)",1.0,False,6.2075223183918835,DUŻY
55-174 (5 mg/ml),"53-084 (0,5 mg/ml)",1.0,False,1.1547005383792537,DUŻY
55-174 (50 mg/ml),"53-084 (0,5 mg/ml)",1.0,False,15.011106998930266,DUŻY
55-176 (50 mg/ml),"53-084 (0,5 mg/ml)",1.0,False,6.92820323027551,DUŻY
55-183 (5 mg/ml),"53-084 (0,5 mg/ml)",1.0,False,-3.4641016151377526,DUŻY
55-183 (50 mg/ml),"53-084 (0,5 mg/ml)",1.0,False,17.962924780409974,DUŻY
56-007 (5 mg/ml),"53-084 (0,5 mg/ml)",1.0,False,1.1547005383792537,DUŻY
56-007 (50 mg/ml),"53-084 (0,5 mg/ml)",1.0,False,13.85640646055102,DUŻY
56-011 (50 mg/ml),"53-084 (0,5 mg/ml)",1.0,False,-2.309401076758502,DUŻY
C1 (100%),"53-084 (0,5 mg/ml)",1.0,False,0.8164965809277275,DUŻY
C2 (100%),"53-084 (0,5 mg/ml)",1.0,False,0.0,znikomy
C3 (100%),"53-084 (0,5 mg/ml)",1.0,False,5.773502691896258,DUŻY
C3 (30%),"53-084 (0,5 mg/ml)",1.0,False,4.6188021535170085,DUŻY
C3 (70%),"53-084 (0,5 mg/ml)",1.0,False,6.572670690061993,DUŻY
C4 (100%),"53-084 (0,5 mg/ml)",1.0,False,-1.7320508075688754,DUŻY
Kontrola (+) Ampycylina,"53-084 (0,5 mg/ml)",1.0,False,17.889977139484614,DUŻY
Kontrola (-) Woda,"53-084 (0,5 mg/ml)",1.0,False,-21.228911104120876,DUŻY
53-084 (50 mg/ml),53-084 (5 mg/ml),1.0,False,1.0954451150103321,DUŻY
53-182 (50 mg/ml),53-084 (5 mg/ml),1.0,False,1.2344267996967357,DUŻY
53-183 (50 mg/ml),53-084 (5 mg/ml),1.0,False,0.8164965809277264,DUŻY
