Group 1,Group 2,P-adj,Significant,Cohen's d,Effect Size
53-183 (50 mg/ml),53-182 (50 mg/ml),1.0,False,7.505553499465135,DUŻY
55-009 (50 mg/ml),53-182 (50 mg/ml),1.0,False,11.839200423452027,DUŻY
"55-156 (0,5 mg/ml)",53-182 (50 mg/ml),1.0,False,-20.412414523193153,DUŻY
55-156 (5 mg/ml),53-182 (50 mg/ml),1.0,False,-17.962924780409974,DUŻY
55-156 (50 mg/ml),53-182 (50 mg/ml),1.0,False,-5.196152422706632,DUŻY
55-163 (5 mg/ml),53-182 (50 mg/ml),1.0,False,-10.392304845413264,DUŻY
55-163 (50 mg/ml),53-182 (50 mg/ml),1.0,False,-4.1311822359545785,DUŻY
55-165 (5 mg/ml),53-182 (50 mg/ml),1.0,False,-7.6681158050723255,DUŻY
55-165 (50 mg/ml),53-182 (50 mg/ml),1.0,False,7.505553499465135,DUŻY
55-173 (5 mg/ml),53-182 (50 mg/ml),1.0,False,-5.196152422706632,DUŻY
55-173 (50 mg/ml),53-182 (50 mg/ml),1.0,False,0.0,znikomy
55-174 (5 mg/ml),53-182 (50 mg/ml),1.0,False,-8.164965809277263,DUŻY
55-174 (50 mg/ml),53-182 (50 mg/ml),1.0,False,7.505553499465135,DUŻY
55-183 (5 mg/ml),53-182 (50 mg/ml),1.0,False,-8.164965809277263,DUŻY
55-183 (50 mg/ml),53-182 (50 mg/ml),1.0,False,1.6329931618554505,DUŻY
56-007 (5 mg/ml),53-182 (50 mg/ml),1.0,False,0.5773502691896237,średni
56-007 (50 mg/ml),53-182 (50 mg/ml),1.0,False,10.969655114602888,DUŻY
56-011 (5 mg/ml),53-182 (50 mg/ml),1.0,False,-13.856406460551016,DUŻY
56-011 (50 mg/ml),53-182 (50 mg/ml),1.0,False,-1.1547005383792537,DUŻY
C1 (100%),53-182 (50 mg/ml),1.0,False,-6.350852961085886,DUŻY
C1 (70%),53-182 (50 mg/ml),1.0,False,-12.124355652982143,DUŻY
C2 (100%),53-182 (50 mg/ml),1.0,False,-6.92820323027551,DUŻY
C2 (70%),53-182 (50 mg/ml),1.0,False,-10.392304845413264,DUŻY
C3 (100%),53-182 (50 mg/ml),1.0,False,23.678400846904054,DUŻY
C3 (30%),53-182 (50 mg/ml),1.0,False,10.969655114602888,DUŻY
C3 (70%),53-182 (50 mg/ml),1.0,False,12.701705922171767,DUŻY
C4 (100%),53-182 (50 mg/ml),1.0,False,-8.660254037844387,DUŻY
Kontrola (+) Ampycylina,53-182 (50 mg/ml),1.0,False,20.78460969082652,DUŻY
Kontrola (-) Woda,53-182 (50 mg/ml),1.0,False,-37.5588427226754,DUŻY
55-009 (50 mg/ml),53-183 (50 mg/ml),1.0,False,6.5319726474218065,DUŻY
"55-156 (0,5 mg/ml)",53-183 (50 mg/ml),1.0,False,-31.02687007525359,DUŻY
55-156 (5 mg/ml),53-183 (50 mg/ml),1.0,False,-28.577380332470415,DUŻY
55-156 (50 mg/ml),53-183 (50 mg/ml),1.0,False,-12.701705922171767,DUŻY
55-163 (5 mg/ml),53-183 (50 mg/ml),1.0,False,-17.897858344878397,DUŻY
55-163 (50 mg/ml),53-183 (50 mg/ml),1.0,False,-7.4877678026676735,DUŻY
55-165 (5 mg/ml),53-183 (50 mg/ml),1.0,False,-12.415044636783765,DUŻY
55-165 (50 mg/ml),53-183 (50 mg/ml),1.0,False,0.0,znikomy
55-173 (5 mg/ml),53-183 (50 mg/ml),1.0,False,-12.701705922171767,DUŻY
55-173 (50 mg/ml),53-183 (50 mg/ml),1.0,False,-7.505553499465135,DUŻY
55-174 (5 mg/ml),53-183 (50 mg/ml),1.0,False,-18.7794213613377,DUŻY
55-174 (50 mg/ml),53-183 (50 mg/ml),1.0,False,0.0,znikomy
55-183 (5 mg/ml),53-183 (50 mg/ml),1.0,False,-18.7794213613377,DUŻY
55-183 (50 mg/ml),53-183 (50 mg/ml),1.0,False,-8.981462390204989,DUŻY
56-007 (5 mg/ml),53-183 (50 mg/ml),1.0,False,-6.928203230275511,DUŻY
56-007 (50 mg/ml),53-183 (50 mg/ml),1.0,False,3.464101615137754,DUŻY
56-011 (5 mg/ml),53-183 (50 mg/ml),1.0,False,-21.361959960016154,DUŻY
56-011 (50 mg/ml),53-183 (50 mg/ml),1.0,False,-8.660254037844389,DUŻY
C1 (100%),53-183 (50 mg/ml),1.0,False,-13.85640646055102,DUŻY
C1 (70%),53-183 (50 mg/ml),1.0,False,-19.629909152447276,DUŻY
C2 (100%),53-183 (50 mg/ml),1.0,False,-14.433756729740644,DUŻY
C2 (70%),53-183 (50 mg/ml),1.0,False,-17.897858344878397,DUŻY
C3 (100%),53-183 (50 mg/ml),1.0,False,13.063945294843613,DUŻY
C3 (30%),53-183 (50 mg/ml),1.0,False,3.464101615137754,DUŻY
C3 (70%),53-183 (50 mg/ml),1.0,False,5.196152422706631,DUŻY
C4 (100%),53-183 (50 mg/ml),1.0,False,-16.16580753730952,DUŻY
Kontrola (+) Ampycylina,53-183 (50 mg/ml),1.0,False,13.279056191361386,DUŻY
Kontrola (-) Woda,53-183 (50 mg/ml),0.7704717736063678,False,-48.17329827473584,DUŻY
"55-156 (0,5 mg/ml)",55-009 (50 mg/ml),0.10445297573843836,False,-25.45584412271571,DUŻY
55-156 (5 mg/ml),55-009 (50 mg/ml),0.29570557916770646,False,-24.041630560342615,DUŻY
55-156 (50 mg/ml),55-009 (50 mg/ml),1.0,False,-15.513435037626794,DUŻY
55-163 (5 mg/ml),55-009 (50 mg/ml),1.0,False,-19.18766965180156,DUŻY
55-163 (50 mg/ml),55-009 (50 mg/ml),1.0,False,-10.606601717798211,DUŻY
55-165 (5 mg/ml),55-009 (50 mg/ml),0.48186157128729357,False,-15.430334996209188,DUŻY
55-165 (50 mg/ml),55-009 (50 mg/ml),1.0,False,-6.5319726474218065,DUŻY
55-173 (5 mg/ml),55-009 (50 mg/ml),1.0,False,-15.513435037626794,DUŻY
55-173 (50 mg/ml),55-009 (50 mg/ml),1.0,False,-11.839200423452027,DUŻY
55-174 (5 mg/ml),55-009 (50 mg/ml),1.0,False,-18.384776310850235,DUŻY
55-174 (50 mg/ml),55-009 (50 mg/ml),1.0,False,-6.5319726474218065,DUŻY
55-183 (5 mg/ml),55-009 (50 mg/ml),1.0,False,-18.384776310850235,DUŻY
55-183 (50 mg/ml),55-009 (50 mg/ml),1.0,False,-12.727922061357855,DUŻY
56-007 (5 mg/ml),55-009 (50 mg/ml),1.0,False,-11.430952132988166,DUŻY
56-007 (50 mg/ml),55-009 (50 mg/ml),1.0,False,-4.082482904638629,DUŻY
56-011 (5 mg/ml),55-009 (50 mg/ml),0.1488982597709765,False,-21.637159394584742,DUŻY
56-011 (50 mg/ml),55-009 (50 mg/ml),1.0,False,-12.655697004379753,DUŻY
C1 (100%),55-009 (50 mg/ml),1.0,False,-16.32993161855452,DUŻY
C1 (70%),55-009 (50 mg/ml),0.4478357321985314,False,-20.41241452319315,DUŻY
C2 (100%),55-009 (50 mg/ml),1.0,False,-16.73817990901838,DUŻY
C2 (70%),55-009 (50 mg/ml),1.0,False,-19.18766965180156,DUŻY
C3 (100%),55-009 (50 mg/ml),1.0,False,0.0,znikomy
C3 (30%),55-009 (50 mg/ml),1.0,False,-4.082482904638629,DUŻY
C3 (70%),55-009 (50 mg/ml),1.0,False,-2.8577380332470397,DUŻY
C4 (100%),55-009 (50 mg/ml),1.0,False,-17.96292478040997,DUŻY
Kontrola (+) Ampycylina,55-009 (50 mg/ml),1.0,False,2.8577380332470397,DUŻY
Kontrola (-) Woda,55-009 (50 mg/ml),0.04508760584246938,True,-35.35533905932737,DUŻY
55-156 (5 mg/ml),"55-156 (0,5 mg/ml)",1.0,False,0.0,znikomy
55-156 (50 mg/ml),"55-156 (0,5 mg/ml)",1.0,False,13.063945294843618,DUŻY
55-163 (5 mg/ml),"55-156 (0,5 mg/ml)",1.0,False,5.715476066494084,DUŻY
55-163 (50 mg/ml),"55-156 (0,5 mg/ml)",1.0,False,2.4494897427831783,DUŻY
55-165 (5 mg/ml),"55-156 (0,5 mg/ml)",1.0,False,1.6329931618554527,DUŻY
55-165 (50 mg/ml),"55-156 (0,5 mg/ml)",1.0,False,31.02687007525359,DUŻY
55-173 (5 mg/ml),"55-156 (0,5 mg/ml)",1.0,False,13.063945294843618,DUŻY
55-173 (50 mg/ml),"55-156 (0,5 mg/ml)",1.0,False,20.412414523193153,DUŻY
55-174 (5 mg/ml),"55-156 (0,5 mg/ml)",1.0,False,0.0,znikomy
55-174 (50 mg/ml),"55-156 (0,5 mg/ml)",1.0,False,31.02687007525359,DUŻY
55-183 (5 mg/ml),"55-156 (0,5 mg/ml)",1.0,False,0.0,znikomy
55-183 (50 mg/ml),"55-156 (0,5 mg/ml)",1.0,False,0.0,znikomy
56-007 (5 mg/ml),"55-156 (0,5 mg/ml)",1.0,False,21.228911104120876,DUŻY
